Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
85300.00,0.82,52.00,1489.00,335.00,728.00,244.00,37.82,-122.28,3585.77,554471.92,733280.44,63761.74,14244.88
80300.00,1.22,52.00,1387.00,341.00,1074.00,304.00,37.82,-122.28,3585.77,554471.92,733280.44,63761.74,14244.88
60000.00,2.56,2.00,158.00,43.00,94.00,57.00,37.82,-122.29,3340.66,555061.67,733854.94,64237.36,13428.62
75700.00,3.39,52.00,1121.00,211.00,554.00,187.00,37.83,-122.29,4442.15,555885.74,734696.07,65171.51,13889.76
75000.00,6.12,49.00,135.00,29.00,86.00,23.00,37.82,-122.29,3340.66,555061.67,733854.94,64237.36,13428.62
86100.00,0.90,50.00,760.00,190.00,377.00,122.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
76100.00,1.19,52.00,1224.00,237.00,521.00,159.00,37.81,-122.30,2214.99,554830.15,733590.44,63800.21,12212.91
73500.00,2.59,48.00,828.00,182.00,392.00,133.00,37.81,-122.30,2214.99,554830.15,733590.44,63800.21,12212.91
78400.00,1.17,52.00,1010.00,209.00,604.00,187.00,37.81,-122.30,2214.99,554830.15,733590.44,63800.21,12212.91
84400.00,0.81,48.00,1455.00,354.00,788.00,332.00,37.81,-122.30,2214.99,554830.15,733590.44,63800.21,12212.91
81300.00,2.61,52.00,1027.00,244.00,492.00,147.00,37.80,-122.29,1197.17,553416.55,732174.84,62386.57,12749.55
85000.00,1.85,52.00,572.00,109.00,274.00,82.00,37.81,-122.30,2214.99,554830.15,733590.44,63800.21,12212.91
129200.00,0.98,46.00,2801.00,644.00,1823.00,611.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
82500.00,1.77,26.00,768.00,152.00,392.00,127.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
95200.00,0.73,46.00,935.00,297.00,582.00,277.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
75000.00,1.75,49.00,844.00,204.00,560.00,152.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
67500.00,0.50,46.00,12.00,4.00,18.00,7.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
137500.00,2.48,20.00,835.00,161.00,290.00,133.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
177500.00,0.92,17.00,1237.00,462.00,762.00,439.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
102100.00,2.45,36.00,2914.00,562.00,1236.00,509.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
108300.00,1.11,19.00,1207.00,243.00,721.00,207.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
112500.00,0.80,23.00,1745.00,374.00,1054.00,325.00,37.81,-122.29,2249.49,554238.61,733014.53,63308.97,13046.19
131300.00,2.01,38.00,684.00,176.00,344.00,155.00,37.80,-122.28,1769.57,552824.89,731598.87,61896.59,13606.84
162500.00,1.50,17.00,924.00,289.00,609.00,289.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
112500.00,1.17,52.00,210.00,56.00,183.00,56.00,37.81,-122.27,3162.27,553058.02,731864.73,62352.24,14728.58
112500.00,1.52,52.00,340.00,97.00,200.00,87.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
137500.00,0.81,52.00,386.00,164.00,346.00,155.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
118800.00,1.81,35.00,948.00,184.00,467.00,169.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
98200.00,2.41,52.00,773.00,143.00,377.00,115.00,37.81,-122.28,2599.64,553647.90,732439.30,62826.25,13885.06
118800.00,0.98,40.00,880.00,451.00,582.00,380.00,37.81,-122.27,3162.27,553058.02,731864.73,62352.24,14728.58
162500.00,0.76,10.00,875.00,348.00,546.00,330.00,37.81,-122.27,3162.27,553058.02,731864.73,62352.24,14728.58
137500.00,0.97,10.00,105.00,42.00,125.00,39.00,37.80,-122.27,2524.61,552234.05,731023.57,61415.35,14466.71
500001.00,1.24,52.00,249.00,78.00,396.00,85.00,37.80,-122.27,2524.61,552234.05,731023.57,61415.35,14466.71
162500.00,2.09,16.00,994.00,392.00,800.00,362.00,37.80,-122.27,2524.61,552234.05,731023.57,61415.35,14466.71
137500.00,0.87,52.00,215.00,87.00,904.00,88.00,37.80,-122.28,1769.57,552824.89,731598.87,61896.59,13606.84
162500.00,0.75,52.00,96.00,31.00,191.00,34.00,37.80,-122.28,1769.57,552824.89,731598.87,61896.59,13606.84
187500.00,2.64,27.00,1055.00,347.00,718.00,302.00,37.79,-122.27,2284.79,551411.09,730183.14,60484.39,14286.81
179200.00,1.85,39.00,1715.00,623.00,1327.00,467.00,37.80,-122.27,2524.61,552234.05,731023.57,61415.35,14466.71
130000.00,2.01,36.00,5329.00,2477.00,3469.00,2323.00,37.80,-122.26,3340.67,551644.05,730448.95,60943.06,15328.72
183800.00,2.83,31.00,4596.00,1331.00,2048.00,1180.00,37.82,-122.26,4569.93,553294.90,732133.46,62836.76,15897.38
125000.00,2.01,29.00,335.00,107.00,202.00,91.00,37.81,-122.26,3845.22,552468.98,731290.84,61887.16,15576.00
170000.00,1.22,22.00,3682.00,1270.00,2024.00,1250.00,37.82,-122.26,4569.93,553294.90,732133.46,62836.76,15897.38
193100.00,2.61,37.00,3633.00,1085.00,1838.00,980.00,37.82,-122.26,4569.93,553294.90,732133.46,62836.76,15897.38
257800.00,2.49,29.00,4656.00,1414.00,2304.00,1250.00,37.81,-122.25,4595.15,551880.77,730717.63,61431.20,16426.70
273400.00,3.22,28.00,5806.00,1603.00,2563.00,1497.00,37.81,-122.25,4595.15,551880.77,730717.63,61431.20,16426.70
237500.00,3.13,39.00,854.00,242.00,389.00,228.00,37.81,-122.25,4595.15,551880.77,730717.63,61431.20,16426.70
350000.00,2.58,52.00,2155.00,701.00,895.00,613.00,37.81,-122.25,4595.15,551880.77,730717.63,61431.20,16426.70
335700.00,2.84,34.00,5871.00,1914.00,2689.00,1789.00,37.81,-122.26,3845.22,552468.98,731290.84,61887.16,15576.00
313400.00,4.93,52.00,1509.00,225.00,674.00,244.00,37.82,-122.24,5923.31,552121.25,730989.17,61948.13,17570.22
268500.00,3.27,52.00,2026.00,482.00,709.00,456.00,37.81,-122.24,5384.14,551293.40,730145.08,60984.57,17280.20
259400.00,3.17,52.00,1758.00,460.00,686.00,422.00,37.81,-122.25,4595.15,551880.77,730717.63,61431.20,16426.70
275700.00,3.90,52.00,3481.00,751.00,1444.00,718.00,37.82,-122.24,5923.31,552121.25,730989.17,61948.13,17570.22
225000.00,3.91,28.00,3337.00,855.00,1520.00,802.00,37.82,-122.25,5216.61,552707.65,731560.97,62387.80,16731.64
262500.00,5.09,52.00,1424.00,289.00,550.00,253.00,37.82,-122.25,5216.61,552707.65,731560.97,62387.80,16731.64
218500.00,2.64,32.00,3809.00,1098.00,1806.00,1022.00,37.82,-122.25,5216.61,552707.65,731560.97,62387.80,16731.64
255000.00,3.02,26.00,3959.00,1196.00,1749.00,1217.00,37.82,-122.25,5216.61,552707.65,731560.97,62387.80,16731.64
224100.00,3.15,52.00,2376.00,559.00,939.00,519.00,37.83,-122.25,5981.94,553535.53,732405.04,63349.48,17103.56
243100.00,3.47,35.00,1613.00,428.00,675.00,422.00,37.83,-122.25,5981.94,553535.53,732405.04,63349.48,17103.56
231600.00,3.14,52.00,1279.00,287.00,534.00,291.00,37.83,-122.25,5981.94,553535.53,732405.04,63349.48,17103.56
218500.00,2.42,28.00,5022.00,1750.00,2558.00,1661.00,37.83,-122.25,5981.94,553535.53,732405.04,63349.48,17103.56
234100.00,3.09,52.00,4190.00,1105.00,1786.00,1037.00,37.83,-122.25,5981.94,553535.53,732405.04,63349.48,17103.56
327600.00,5.86,50.00,2515.00,399.00,970.00,373.00,37.84,-122.23,8006.93,553196.25,732109.81,63472.79,19148.03
347600.00,5.29,47.00,3175.00,454.00,1098.00,485.00,37.84,-122.23,8006.93,553196.25,732109.81,63472.79,19148.03
366100.00,5.96,41.00,2576.00,406.00,794.00,376.00,37.83,-122.24,6607.19,552950.08,731833.96,62916.58,17924.65
335000.00,4.96,37.00,334.00,54.00,98.00,47.00,37.85,-122.24,8259.09,554610.72,733525.68,64867.29,18811.49
373600.00,6.34,52.00,2800.00,411.00,1061.00,403.00,37.85,-122.23,8810.50,554028.01,732956.75,64456.75,19600.23
389500.00,5.18,52.00,3529.00,574.00,1177.00,555.00,37.84,-122.24,7395.76,553779.91,732679.47,63889.70,18339.74
391100.00,7.24,52.00,2612.00,365.00,901.00,367.00,37.85,-122.24,8259.09,554610.72,733525.68,64867.29,18811.49
337300.00,5.46,28.00,5287.00,1048.00,2031.00,956.00,37.85,-122.22,9411.71,553446.16,732388.50,64055.70,20396.30
295200.00,7.50,50.00,2935.00,473.00,1031.00,479.00,37.84,-122.22,8664.18,552613.44,731540.83,63065.42,19962.25
292300.00,6.02,44.00,3424.00,597.00,1358.00,597.00,37.84,-122.21,9357.79,552031.48,730972.52,62667.80,20781.71
411500.00,7.55,40.00,4991.00,674.00,1616.00,654.00,37.83,-122.21,8748.16,551198.79,730124.82,61675.23,20416.65
311500.00,6.07,30.00,2211.00,346.00,844.00,343.00,37.84,-122.20,10080.26,551450.38,730404.91,62280.11,21605.82
325900.00,7.05,34.00,3038.00,490.00,1140.00,496.00,37.84,-122.21,9357.79,552031.48,730972.52,62667.80,20781.71
392600.00,11.60,18.00,1617.00,210.00,533.00,194.00,37.84,-122.19,10825.83,550870.13,729837.97,61902.53,22434.06
319300.00,7.49,35.00,2865.00,460.00,1072.00,443.00,37.84,-122.20,10080.26,551450.38,730404.91,62280.11,21605.82
333300.00,6.90,34.00,5065.00,788.00,1627.00,766.00,37.83,-122.21,8748.16,551198.79,730124.82,61675.23,20416.65
335200.00,8.20,28.00,1326.00,184.00,463.00,190.00,37.83,-122.19,10303.62,550035.53,728988.80,60897.38,22096.52
351200.00,8.40,26.00,1589.00,223.00,542.00,211.00,37.83,-122.20,9517.13,550616.73,729556.47,61281.20,21255.02
368900.00,6.85,29.00,1791.00,271.00,661.00,269.00,37.83,-122.19,10303.62,550035.53,728988.80,60897.38,22096.52
365900.00,8.32,32.00,1835.00,264.00,635.00,263.00,37.82,-122.19,9879.46,549201.91,728140.33,59896.01,21810.52
366700.00,7.02,37.00,1229.00,181.00,420.00,176.00,37.82,-122.20,9056.08,549784.07,728708.73,60286.26,20957.42
362800.00,6.33,39.00,3770.00,534.00,1265.00,500.00,37.82,-122.20,9056.08,549784.07,728708.73,60286.26,20957.42
483300.00,6.36,30.00,292.00,38.00,126.00,52.00,37.81,-122.18,9430.45,547787.01,726724.11,58512.32,22442.11
331400.00,7.05,52.00,2375.00,333.00,813.00,350.00,37.82,-122.21,8244.11,550367.09,729277.82,60686.80,20106.52
323500.00,6.79,45.00,2964.00,436.00,1067.00,426.00,37.81,-122.20,8713.35,548952.40,727861.71,59295.47,20715.30
216700.00,2.89,50.00,2833.00,605.00,1260.00,552.00,37.80,-122.21,7632.43,548706.65,727585.95,58723.20,19661.03
233100.00,3.08,38.00,2254.00,535.00,951.00,487.00,37.80,-122.21,7632.43,548706.65,727585.95,58723.20,19661.03
296400.00,5.24,52.00,1389.00,212.00,510.00,224.00,37.81,-122.21,7865.95,549536.37,728431.53,59702.72,19853.91
273700.00,6.52,52.00,1971.00,335.00,765.00,308.00,37.81,-122.22,7026.23,550121.20,729002.03,60120.12,18994.10
227700.00,3.26,52.00,2183.00,465.00,1129.00,460.00,37.80,-122.22,6763.65,549292.44,728157.19,59147.57,18792.28
199600.00,3.03,52.00,2286.00,464.00,1073.00,441.00,37.80,-122.22,6763.65,549292.44,728157.19,59147.57,18792.28
239800.00,4.54,52.00,2721.00,541.00,1185.00,515.00,37.80,-122.22,6763.65,549292.44,728157.19,59147.57,18792.28
270100.00,4.07,52.00,2024.00,339.00,756.00,340.00,37.81,-122.22,7026.23,550121.20,729002.03,60120.12,18994.10
302100.00,5.35,52.00,2944.00,536.00,1034.00,521.00,37.81,-122.22,7026.23,550121.20,729002.03,60120.12,18994.10
269500.00,3.16,52.00,2033.00,486.00,787.00,459.00,37.80,-122.23,5897.80,549879.08,728729.12,59581.96,17924.51
314700.00,4.77,52.00,1433.00,229.00,612.00,213.00,37.81,-122.23,6197.30,550706.88,729573.22,60547.48,18136.11
390100.00,8.16,52.00,2927.00,402.00,1021.00,380.00,37.81,-122.22,7026.23,550121.20,729002.03,60120.12,18994.10
410300.00,8.88,52.00,2315.00,292.00,861.00,258.00,37.81,-122.23,6197.30,550706.88,729573.22,60547.48,18136.11
352400.00,6.86,52.00,2485.00,313.00,953.00,327.00,37.81,-122.24,5384.14,551293.40,730145.08,60984.57,17280.20
287300.00,6.03,52.00,1490.00,238.00,634.00,256.00,37.81,-122.24,5384.14,551293.40,730145.08,60984.57,17280.20
348700.00,7.51,52.00,2814.00,365.00,878.00,352.00,37.81,-122.23,6197.30,550706.88,729573.22,60547.48,18136.11
243800.00,2.75,52.00,2093.00,550.00,918.00,483.00,37.81,-122.24,5384.14,551293.40,730145.08,60984.57,17280.20
211500.00,2.19,52.00,888.00,168.00,360.00,175.00,37.80,-122.24,5036.39,550466.56,729301.72,60026.15,17057.87
218400.00,3.01,52.00,2087.00,510.00,1197.00,488.00,37.80,-122.25,4182.18,551054.89,729874.99,60479.92,16192.53
269900.00,3.68,52.00,2513.00,502.00,1048.00,518.00,37.81,-122.24,5384.14,551293.40,730145.08,60984.57,17280.20
218800.00,3.23,46.00,3232.00,835.00,1373.00,747.00,37.81,-122.25,4595.15,551880.77,730717.63,61431.20,16426.70
225000.00,2.93,42.00,4120.00,1065.00,1715.00,1015.00,37.80,-122.25,4182.18,551054.89,729874.99,60479.92,16192.53
250000.00,2.14,43.00,2364.00,792.00,1359.00,722.00,37.80,-122.25,4182.18,551054.89,729874.99,60479.92,16192.53
171400.00,1.61,41.00,1471.00,469.00,1062.00,413.00,37.80,-122.25,4182.18,551054.89,729874.99,60479.92,16192.53
193800.00,1.39,29.00,2468.00,864.00,1335.00,773.00,37.80,-122.25,4182.18,551054.89,729874.99,60479.92,16192.53
125000.00,2.32,27.00,1632.00,492.00,1171.00,429.00,37.79,-122.24,4920.81,549640.72,728459.07,59073.11,16905.89
97500.00,1.78,45.00,1786.00,526.00,1475.00,460.00,37.79,-122.25,4042.11,550230.01,729033.08,59534.20,16032.23
125000.00,2.65,50.00,629.00,188.00,742.00,196.00,37.79,-122.25,4042.11,550230.01,729033.08,59534.20,16032.23
138800.00,2.18,52.00,1339.00,391.00,1086.00,363.00,37.79,-122.25,4042.11,550230.01,729033.08,59534.20,16032.23
116700.00,2.23,36.00,1678.00,606.00,1645.00,543.00,37.80,-122.25,4182.18,551054.89,729874.99,60479.92,16192.53
151800.00,1.65,43.00,2344.00,647.00,1710.00,644.00,37.80,-122.25,4182.18,551054.89,729874.99,60479.92,16192.53
127000.00,2.27,52.00,996.00,228.00,731.00,228.00,37.80,-122.24,5036.39,550466.56,729301.72,60026.15,17057.87
128600.00,2.16,52.00,1591.00,373.00,1118.00,347.00,37.80,-122.24,5036.39,550466.56,729301.72,60026.15,17057.87
140600.00,2.13,52.00,1586.00,398.00,1006.00,335.00,37.80,-122.24,5036.39,550466.56,729301.72,60026.15,17057.87
182700.00,2.63,47.00,2046.00,588.00,1213.00,554.00,37.80,-122.24,5036.39,550466.56,729301.72,60026.15,17057.87
146900.00,2.38,52.00,1192.00,289.00,772.00,257.00,37.80,-122.23,5897.80,549879.08,728729.12,59581.96,17924.51
122800.00,2.96,52.00,1803.00,420.00,1321.00,401.00,37.80,-122.24,5036.39,550466.56,729301.72,60026.15,17057.87
169300.00,2.52,49.00,2838.00,749.00,1487.00,677.00,37.80,-122.24,5036.39,550466.56,729301.72,60026.15,17057.87
126600.00,1.94,52.00,783.00,184.00,488.00,186.00,37.80,-122.23,5897.80,549879.08,728729.12,59581.96,17924.51
127900.00,1.90,51.00,1590.00,414.00,949.00,392.00,37.80,-122.23,5897.80,549879.08,728729.12,59581.96,17924.51
123500.00,2.25,50.00,1746.00,480.00,1149.00,415.00,37.80,-122.23,5897.80,549879.08,728729.12,59581.96,17924.51
111900.00,2.39,52.00,1252.00,299.00,844.00,280.00,37.80,-122.23,5897.80,549879.08,728729.12,59581.96,17924.51
112800.00,2.19,43.00,5963.00,1344.00,4367.00,1231.00,37.79,-122.23,5799.52,549052.28,727885.73,58621.64,17780.06
107900.00,2.94,52.00,1783.00,395.00,1659.00,412.00,37.79,-122.23,5799.52,549052.28,727885.73,58621.64,17780.06
137500.00,1.89,30.00,999.00,264.00,1011.00,263.00,37.79,-122.23,5799.52,549052.28,727885.73,58621.64,17780.06
105500.00,2.16,39.00,1469.00,431.00,1464.00,389.00,37.79,-122.24,4920.81,549640.72,728459.07,59073.11,16905.89
95500.00,2.13,47.00,1372.00,395.00,1237.00,303.00,37.79,-122.24,4920.81,549640.72,728459.07,59073.11,16905.89
116100.00,3.38,52.00,674.00,180.00,647.00,168.00,37.79,-122.24,4920.81,549640.72,728459.07,59073.11,16905.89
112200.00,2.25,43.00,1626.00,376.00,1284.00,357.00,37.79,-122.24,4920.81,549640.72,728459.07,59073.11,16905.89
75000.00,2.10,51.00,175.00,43.00,228.00,55.00,37.79,-122.25,4042.11,550230.01,729033.08,59534.20,16032.23
112500.00,1.60,39.00,461.00,129.00,381.00,123.00,37.79,-122.25,4042.11,550230.01,729033.08,59534.20,16032.23
125000.00,3.63,52.00,902.00,237.00,846.00,227.00,37.79,-122.25,4042.11,550230.01,729033.08,59534.20,16032.23
115000.00,1.69,20.00,2373.00,779.00,1659.00,676.00,37.80,-122.26,3340.67,551644.05,730448.95,60943.06,15328.72
95000.00,1.65,52.00,391.00,128.00,520.00,138.00,37.77,-122.22,4226.28,546812.17,725626.97,56260.92,18577.10
96400.00,2.59,52.00,1137.00,301.00,866.00,259.00,37.77,-122.22,4226.28,546812.17,725626.97,56260.92,18577.10
72000.00,2.57,52.00,769.00,206.00,612.00,183.00,37.77,-122.23,4276.80,547401.70,726201.11,56717.60,17698.42
71300.00,2.64,52.00,472.00,146.00,415.00,126.00,37.78,-122.23,5377.37,548226.48,727043.06,57666.76,17704.40
80800.00,3.03,52.00,862.00,215.00,994.00,213.00,37.78,-122.23,5377.37,548226.48,727043.06,57666.76,17704.40
128800.00,1.49,50.00,1920.00,530.00,1525.00,477.00,37.78,-122.22,5337.29,547637.92,726469.66,57217.71,18582.69
112500.00,1.93,43.00,1420.00,472.00,1506.00,438.00,37.78,-122.23,5377.37,548226.48,727043.06,57666.76,17704.40
119400.00,1.48,52.00,986.00,258.00,1008.00,255.00,37.78,-122.23,5377.37,548226.48,727043.06,57666.76,17704.40
118100.00,1.60,44.00,2340.00,825.00,2813.00,751.00,37.78,-122.23,5377.37,548226.48,727043.06,57666.76,17704.40
122500.00,2.04,48.00,1696.00,396.00,1481.00,343.00,37.79,-122.23,5799.52,549052.28,727885.73,58621.64,17780.06
106300.00,2.29,49.00,1175.00,217.00,859.00,219.00,37.79,-122.23,5799.52,549052.28,727885.73,58621.64,17780.06
132500.00,2.15,37.00,2343.00,574.00,1608.00,523.00,37.79,-122.22,6448.62,548464.68,727313.07,58180.02,18654.67
122700.00,1.62,30.00,610.00,145.00,425.00,140.00,37.79,-122.23,5799.52,549052.28,727885.73,58621.64,17780.06
113300.00,1.33,40.00,930.00,199.00,564.00,184.00,37.79,-122.23,5799.52,549052.28,727885.73,58621.64,17780.06
109500.00,3.52,44.00,1487.00,314.00,961.00,272.00,37.79,-122.22,6448.62,548464.68,727313.07,58180.02,18654.67
164700.00,3.90,52.00,3424.00,690.00,2273.00,685.00,37.79,-122.22,6448.62,548464.68,727313.07,58180.02,18654.67
125000.00,3.09,52.00,762.00,190.00,600.00,195.00,37.79,-122.21,6534.58,547877.93,726741.09,57748.47,19529.65
124700.00,2.60,46.00,2366.00,575.00,1647.00,527.00,37.79,-122.22,6448.62,548464.68,727313.07,58180.02,18654.67
